fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Cap Santa Clara,120.0,0.5052,9.3184,dico:cap santa clara
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Akouango village,120.0,0.525,9.3383,dico:akouango village
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,Cap Estérias,120.0,0.525,9.3383,dico:cap esterias
planning_02_02_2026.JPG,02/02/2026,15h30,17h30,ENEF,120.0,0.525,9.3383,dico:enef
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Sotéga,120.0,0.4202,9.4565,dico:sotega
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Cité Mébiame,120.0,0.4202,9.4565,dico:cite mebiame
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Nzeng-Ayong chez les soeurs,120.0,0.4218,9.4787,dico:nzeng-ayong chez les soeurs
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Cité de la caisse,120.0,0.417,9.4713,dico:cite de la caisse
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Hôtel de la CAN,120.0,0.4196,9.4848,dico:hotel de la can
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Sibang 3,120.0,0.4124,9.4945,dico:sibang 3
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Cité de la démocratie,120.0,0.4124,9.4945,dico:cite de la democratie
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Mairie du 6eme,120.0,0.424,9.4716,dico:mairie du 6eme
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Rond-point de Nzeng-Ayong,120.0,0.4218,9.4787,dico:rond-point de nzeng-ayong
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Nombakélé,120.0,0.39,9.456,dico:nombakele
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Centre-ville,120.0,0.3901,9.4537,dico:centre-ville
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Saint-Germain,120.0,0.405,9.452,dico:saint-germain
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Hôtel du stade,120.0,0.3967,9.4463,dico:hotel du stade
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,Mairie du 3eme,120.0,0.405,9.452,dico:mairie du 3eme
planning_02_02_2026.JPG,02/02/2026,17h30,19h30,BBS,120.0,0.39,9.456,dico:bbs
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,Awendjé,120.0,0.3861,9.4771,dico:awendje
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,Z..Oloumi,120.0,0.38,9.471,patch:Z..Oloumi
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,CEDOC,120.0,0.38,9.471,dico:cedoc
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,TABELEC,120.0,0.38,9.471,dico:tabelec
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,Belle-vue 2,120.0,0.372,9.4636,dico:belle-vue 2
planning_02_02_2026.JPG,02/02/2026,19h30,21h30,Usine SATOGA,120.0,0.3377,9.4809,dico_partiel:satoga
